,a,b,c,d,e
0,0.38174633744084996,0.8586001668067217,0.48060188563969364,0.2201682604555555,0.8900069012573414
1,0.7826268985954398,0.6913191579469821,0.12520375260751515,0.6462121528676826,0.018627293409645307
2,0.552426546559126,0.8855643712157386,0.6601911887556567,0.5237889049915864,0.42671563458891193
3,0.028380988000349716,0.300091486356031,0.16892994864724653,0.371086820091462,0.8726665299071935
4,0.5562608916225806,0.6181066840004197,0.7090867976124208,0.4740981051877785,0.341079883093134
5,0.7860101052200777,0.4920731923983004,0.14454708802454264,0.26288177856773787,0.8102299026236878
6,0.07881278518333157,0.12194744232049781,0.5526200633700824,0.05213745114816826,0.8985126865658484
7,0.14227630026881077,0.27212671431561564,0.8656991703651976,0.20250463322905432,0.21871224647746046
8,0.4485900721294076,0.03554532757986539,0.50909915847257,0.7689953669424757,0.1342216765999793
9,0.4348109173030672,0.7122026872863348,0.33354658965166706,0.3107249086246008,0.23336513345211318
10,0.6674762822544329,0.6765212037006202,0.07500786945239957,0.6712318240284307,0.14306005793546261
11,0.23275329929493305,0.002434951343342484,0.1196354417938077,0.11070066675914414,0.8988973315123974
12,0.23119078302993434,0.8450087688744586,0.02948783138476485,0.5409309225206923,0.4813706683017389
13,0.05032433161499161,0.8119897920301492,0.31179873613435316,0.13721925238918398,0.11949660678150864
14,0.016561706707063584,0.6061150568494235,0.8103324708200308,0.8577813368081848,0.4514507835840418
15,0.25903341995813034,0.004556919464503428,0.023725787312002145,0.5778720243022674,0.5471251227814606
16,0.6181586286617637,0.9420157636086183,0.9198309684465973,0.5631062147357294,0.5257891532506931
17,0.3515010031820157,0.4319583989234279,0.5047061195058506,0.06753349860918678,0.39483024283392565
18,0.2435066958963643,0.02713923162700993,0.8910196245815997,0.769511263896111,0.4607129875488214
19,0.8387512587783971,0.8600107577750942,0.03422616985459581,0.7726772599669909,0.38213391099833394
20,0.5970785787415159,0.11497646631953784,0.5709863517755758,0.10921437947399482,0.04667424027779232
21,0.1880532104398429,0.41711529106531364,0.5543278649320608,0.3866665041323766,0.24463822872868812
22,0.3790748063455476,0.9790122809796894,0.38546575292581986,0.466064559369604,0.7955619112371294
23,0.4444556882624724,0.26776157491425145,0.44448688875209663,0.48868360696252666,0.15201370838741457
24,0.41807355442663907,0.38368468594787386,0.9939057803804886,0.280003775745194,0.14574521147268382
25,0.6594718897294615,0.4995193393449592,0.19171899205109677,0.9462218149219062,0.2863642041201725
26,0.7854996208724935,0.39703610548657187,0.6820121966240704,0.6865468796635174,0.42104647326317324
27,0.606194466726196,0.17952594569762304,0.3996170269276429,0.5018959023355035,0.13621773643639778
28,0.7476185010478708,0.8315040100328651,0.01425535523988053,0.4279425251410517,0.5637440837626188
29,0.7490884716926364,0.9105150361236122,0.9076965763943122,0.6000809776705586,0.7489691411272038
30,0.027053495126906357,0.1589114670738977,0.8227353581982828,0.842056865730514,0.07802117797170105
31,0.2955397716793077,0.40599390891247833,0.5113191295089763,0.17724277905071317,0.587303160790476
32,0.8439378873909044,0.9342435334758254,0.180551271929962,0.11130219195450519,0.40091638631787485
33,0.12017177082093689,0.2592527819805416,0.17129478886081728,0.2683543949471785,0.16830771278039813
34,0.7491075717638114,0.22387434608862022,0.23631713931926845,0.6194821696337568,0.20856729480854508
35,0.358313839663311,0.629274770898464,0.07949545435490746,0.7374283728239609,0.8795047603696229
36,0.49745504353066816,0.17411737036980723,0.09729016999465756,0.47836662461475477,0.9033177980485126
37,0.3648541819032316,0.3039850235386278,0.4963538695625973,0.2515597383412652,0.5047856060253103
38,0.3128430495123613,0.2161381545065184,0.0035774887880375417,0.2338285999937464,0.526138961152882
39,0.39935650584350857,0.09781674855563449,0.6948629216375767,0.6836206415167557,0.8843134061082375
40,0.10073927831221974,0.10010296667919683,0.8832324565247551,0.5814405018521964,0.8049424446890404
41,0.5791500010371952,0.7144834933049113,0.973387187585765,0.724593838922714,0.1137171202017142
42,0.771032588325393,0.5063748035624598,0.4677398789246541,0.7802732702301703,0.9655869648619795
43,0.993364107519863,0.8579117462021305,0.8462497412099892,0.5460142230728767,0.5501846647507862
44,0.5319446022311006,0.01011672113295059,0.6336836709052492,0.6590444760328008,0.6340582958254068
45,0.9485771383955096,0.6011740482368236,0.39552628992967487,0.9524859666231797,0.5479981477749801
46,0.1893506362729268,0.754413029169748,0.9788755049674086,0.8178372941631686,0.7549311965666743
47,0.7680095389898169,0.48156733929670215,0.24286015308851505,0.49786794127742473,0.6931849242198939
48,0.5388457767252808,0.1860992406869072,0.687108926719237,0.2703848214147849,0.08004976995195412
49,0.2096911943578802,0.5479488930026007,0.8253423187088583,0.4356682505354885,0.06641859579508191
50,0.15699354457797499,0.26029956528286247,0.34766568338033965,0.33425412245414166,0.2224789394956349
51,0.3418536198603783,0.09335986586533784,0.2951387134525131,0.8979624880049352,0.2902910142106253
52,0.39502355691388613,0.2673539516189818,0.48243714292990403,0.9727912852157934,0.7040870677575152
53,0.43052439137984566,0.1604207810091942,0.917890025445858,0.683653763328154,0.1938333031058287
54,0.4569954017115653,0.07174475335849606,0.39072045234957253,0.5557646101985467,0.5255898582053855
55,0.63351036919075,0.28546821822266266,0.6622469083298252,0.02589010133805325,0.5601299147601196
56,0.20333432298301912,0.3634275478606004,0.05681567362824658,0.5991980187180659,0.4812394476404108
57,0.2147877492139788,0.4981256447794392,0.009910999035877222,0.7180839044659136,0.6872765466568241
58,0.8979103008001077,0.803665739468819,0.29194286647756507,0.10806698246924351,0.6004129618322033
59,0.4649349510758046,0.9561874470479043,0.02446474629809081,0.2442754911263858,0.02899947017331339
60,0.3078595181945162,0.04653930679482465,0.7291710437647727,0.4818716241494979,0.803197930642307
61,0.07698099630917465,0.4338311910254993,0.8932282595148546,0.3860879538425588,0.7738423898403419
62,0.29649581985026185,0.19642995474397784,0.48967584253613206,0.04157221318450921,0.9000478463123318
63,0.6989916688930843,0.3304645936098408,0.1412338056181469,0.15891307665341758,0.9219794720960598
64,0.7562288726519604,0.0051399502598444835,0.26552956582160225,0.7038746290839254,0.8467128571257633
65,0.6562172106038071,0.19433234477401784,0.9416555630829321,0.6322228261497738,0.34156807225988417
66,0.2942278214909255,0.05673111953614407,0.9710357310390403,0.8710576577827023,0.05666422441402774
67,0.8373040089143151,0.9754619897893636,0.9129473780631444,0.8226233737801005,0.9341292421647045
68,0.335215950955,0.824568765334141,0.14876115855886685,0.41766685811221005,0.3659152765358521
69,0.9061699583629742,0.1879966483011788,0.41374954482777926,0.3014009644360265,0.5445544720416855
70,0.09467448200993045,0.16556292761297453,0.797651645279001,0.9552340453915211,0.4837706144728272
71,0.7927668733295449,0.16759250242246337,0.9069562130058346,0.46920304802335255,0.9723141791529314
